,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet
2429,2021-02-01 00:59:34+00:00,ANDRO...⛑️👓🇵🇪,LIMA,75,1,3,[],@KeikoFujimori Jajajaja escuela de Corruptos...
2430,2021-02-01 00:59:32+00:00,D' Roca,,6,0,1,[],"@KeikoFujimori A que hora empiezas con la campaña. Te estás quedando dormida. Yo te apoyo, pero necesitamos verte más activa en los medios da algunas entrevistas y más propaganda visual y carteles y formaciones de bases de fuerza popular por todo el Perú."
2431,2021-02-01 00:59:28+00:00,David_El Characato 🌋🦁,,120,0,1,"['KeikoMentirosa', 'En2021noHabráNingunFujimori']","@KeikoFujimori Y la que nos está jodiendo el Perú hoy por hoy y beneficiando el bolsillo de unos cuántos. #KeikoMentirosa
#En2021noHabráNingunFujimori"
2432,2021-02-01 00:59:07+00:00,Pepe Mujica,Panamá,250,0,0,[],@KeikoFujimori https://t.co/0xDe1SdfUc
2433,2021-02-01 00:59:02+00:00,Willy Depaz,,2,0,2,[],@KeikoFujimori Bien Keiko Fujimori la C93 es la que nos sacó de la crisis económica y del terrorismo.
2434,2021-02-01 00:58:49+00:00,rodrigo perez,,3,0,0,[],@titoelandino @KeikoFujimori pobre bebita https://t.co/I0hGqUNmwk
2435,2021-02-01 00:58:32+00:00,Julio García,,89,0,0,[],"@KeikoFujimori Señora, su campaña es una producción de alto nivel. Para el medio peruano es muy costoso. 
¿Quién la financia? ¿los mismos por lo que esta siendo investigada?"
2436,2021-02-01 00:58:21+00:00,Janet Bustamante,,145,1,1,[],@KiaraOrtizJ @KeikoFujimori pasumare me dormí
2437,2021-02-01 00:58:11+00:00,K 13 al Parlamento Andino 🍊,Peru,1366,1,14,[],"@KeikoFujimori Bien vuelve con fuerza la escuela . 
C 93 constitución que rescató a nuestro país y el el muro de contención para que el peru no vuelva a la miseria 💪💪💪"
2438,2021-02-01 00:58:08+00:00,Czapr😈😈,,219,0,0,[],"@KeikoFujimori 😂😂😂😂las dos señoras Ks Miky Torres según Hinostroza, y Keiko la verdadera Señora K,😂😂😂😂"
2439,2021-02-01 00:58:02+00:00,rodrigo perez,,3,0,2,[],@KeikoFujimori Excelente tenemos que defender la Constitución del 93 que trajo progreso al Peru
2440,2021-02-01 00:57:42+00:00,Brandon,"Lima, Peru",29,0,0,[],"@KeikoFujimori Que paso señora k, antes usted ordenaba y se cumplía su orden al pie de la letra (aplausos protocolares) https://t.co/funKMPJkS3"
2441,2021-02-01 00:57:37+00:00,Nicolás Toledo :),"Nuñez, CABA",482,1,10,[],@KeikoFujimori Explícanos tu patrimonio sin trabajar nunca
2442,2021-02-01 00:57:32+00:00,Jorge O.,"San isidro, Peru",148,1,12,[],@KeikoFujimori Qué tal producción! Aún les quedó dinero del BCP y ODEBRECHT
2443,2021-02-01 00:57:17+00:00,Percy Tagales,,3,0,0,[],@KeikoFujimori https://t.co/PHCdibpmW7
2444,2021-02-01 00:57:03+00:00,carlos martinez,,757,0,3,[],@menato27 @MonicaV89308328 @elhigadodmarita @KeikoFujimori Que tal 🐚para hablar de asesino el chupamedia de Vizcarra...te parece poco 80 mil muertos por la Pandemia por su incapacidad y desidia???
2445,2021-02-01 00:56:51+00:00,Flores Amarillas 🌻,,297,0,2,[],"@KeikoFujimori @urocklife amiga, atenta a las inscripciones, te ponga toda la fe!!"
2446,2021-02-01 00:56:48+00:00,Antonio 🌚🔥,"Lima, Perú ",255,0,1,[],@KeikoFujimori Muy buena iniciativa de poder exponer un buen tema .
2447,2021-02-01 00:56:45+00:00,Manuel Erazmo,"Tarapoto, Peru",7,0,2,[],"@KeikoFujimori Fuerza Popular, vamos adelante."
2448,2021-02-01 00:56:38+00:00,Flavio B,"Santiago de Surco, Peru",2298,0,1,[],@KeikoFujimori Ahí estaré presente!
2449,2021-02-01 00:56:31+00:00,El Sumaq Danzaq...,,24,8,58,[],@KeikoFujimori Quiero ser fujimorista .....jajajajaja https://t.co/otlAUwNumL
2450,2021-02-01 00:56:26+00:00,Rubén cabana Galindo,,19,0,1,[],@KeikoFujimori 👏👏👏👍👍👍
2451,2021-02-01 00:56:26+00:00,Richirecks,,11,0,0,[],@KeikoFujimori jajajajajajajajajajaja escuela de la corrupción como pitufear y ganar dinero sin trabajar que wuena. no gracias siga no más engañando a tus súbditos.
2452,2021-02-01 00:56:22+00:00,opɹɐɹәg,,285,0,0,[],@KeikoFujimori Con todo el presupuesto y equipo que manejan.. ojalá fuera un partido serio y confiable
2453,2021-02-01 00:56:21+00:00,K 13 al Parlamento Andino 🍊,Peru,1366,2,10,[],"@KeikoFujimori 💪💪💪💯🍊🍊🍊🇵🇪🇵🇪🇵🇪🇵🇪
C93 constitución que rescató nuestro país 💪💪💪🚨🚨🚨🍊🍊🇵🇪🇵🇪🇵🇪"
2454,2021-02-01 00:56:17+00:00,Christian Zevallos,"Huancayo, Peru",18,0,0,[],"@KeikoFujimori Debe eatar prohibido que existan esas escuelas donde adoctrinan desde jovenes aprovechándose de sus escasos recursos es asi cono la SEÑORA K compra los votos en la actualidad, una vergüenza total"
2455,2021-02-01 00:56:16+00:00,Elías,"Arequipa, Peru",22,0,1,[],@KeikoFujimori Miki Torres jajaja
2456,2021-02-01 00:56:12+00:00,Duberly,"Piura, Peru",173,1,6,[],@KeikoFujimori Con mas fuerza @KeikoFujimori
2457,2021-02-01 00:56:05+00:00,Menber,,17,0,1,[],@KeikoFujimori UN EXITOOOOO
2458,2021-02-01 00:56:03+00:00,✊,"Lima, Perú",505,0,10,[],@KeikoFujimori Ojalá que explique bien el capítulo económico neoliberal que construyó la gran desigualdad en la que hasta hoy vivimos.
2459,2021-02-01 00:56:02+00:00,JEAN CARLOS,,40,0,4,[],"@KeikoFujimori Gracias rpp por las instalaciones.
Atte keiko presidiaria 2021"
2460,2021-02-01 00:55:52+00:00,Luis,,18,0,0,[],@KeikoFujimori Que días y horarios
2461,2021-02-01 00:55:48+00:00,José Julio Hernández,,60,0,2,[],@KeikoFujimori No vayannnnn https://t.co/y0Xcf1HT2Q
2462,2021-02-01 00:55:44+00:00,Alvaro Calderón de la Vega,,23,0,0,[],"@KeikoFujimori Es por las puras, no vas hacer presidente...! Anda trabaja vaga....!"
2463,2021-02-01 00:55:44+00:00,Diego Rivadeneira,Peru,261,0,21,[],@KeikoFujimori ¿Cuántos antecedentes penales/judiciales son necesarios para postular? Es para un amigo.
2464,2021-02-01 00:55:43+00:00,Percy Tagales,,3,0,0,[],@KeikoFujimori https://t.co/blvnh2rW1A
2465,2021-02-01 00:55:32+00:00,Walter Bedriñana,Lima,26,0,1,[],@KeikoFujimori De todas maneras 💪💪💪
2466,2021-02-01 00:55:20+00:00,Miki Marin 🇵🇪,"Arequipa, Peru",59,0,3,['EscuelaNaranja'],@KeikoFujimori Excelente #EscuelaNaranja 👏🏼🧡🇵🇪
2467,2021-02-01 00:55:13+00:00,@PartidoChichaMorada,Peru,1118,2,23,[],@KeikoFujimori La segunda ola de la Korrupcion
2468,2021-02-01 00:55:13+00:00,Pedro Mendoza,,4,2,18,[],"@KeikoFujimori FUJIMORISMO NUNCA MAS...
MENTIROSA E HIPÓCRITA.... https://t.co/DfDlT8cg8U"
2469,2021-02-01 00:55:10+00:00,Ernesto,"Lima, Peru",1548,0,6,[],@KeikoFujimori 4 semanas de adoctrinamiento juvenil. Mejor que te enseñen japonés y lárgate del país.
2470,2021-02-01 00:55:06+00:00,Percy Tagales,,3,0,0,[],@KeikoFujimori https://t.co/epiteTypX1
2471,2021-02-01 00:55:02+00:00,jn silva,Arequipa,96,0,0,[],@KeikoFujimori Enseñaras como se vive del estado o como se hace billegas sin trabajar?
2472,2021-02-01 00:55:01+00:00,Miguel Mamani,"Juliaca, Peru",54,0,1,[],@thecubass @KeikoFujimori Que hablas estúpida? Informate!!!
2473,2021-02-01 00:54:58+00:00,Pablo Roca,"Independencia, Lima, Peru.",611,1,5,[],@KeikoFujimori La fábrica de crear fanáticos....
2474,2021-02-01 00:54:27+00:00,@PartidoChichaMorada,Peru,1118,2,23,[],@KeikoFujimori Cambiastes los coktelitos por clases
2475,2021-02-01 00:54:13+00:00,Percy Tagales,,3,0,1,[],@KeikoFujimori https://t.co/4OIuaGrLti
2476,2021-02-01 00:54:08+00:00,Pepe Mujica,Panamá,250,0,1,[],@KeikoFujimori https://t.co/IYzWptMUJn
2477,2021-02-01 00:54:07+00:00,Toms,Tumbes,49,0,2,[],@KeikoFujimori señora de donde saca tanta plata?? sera que Dionicio romero le esta dando plata de los peruanos
2478,2021-02-01 00:54:06+00:00,Juan Elias Rios,LIMA-PERU,633,0,6,[],@KeikoFujimori Execelente propuesta para analizar cual es el verdadero rumbo económico que debemos seguir .
2479,2021-02-01 00:53:56+00:00,André Peña 🅤,monumental😎,360,0,2,[],@KeikoFujimori @ScottDorian4 Calla ladrona de mierda
2480,2021-02-01 00:53:54+00:00,Erik Cajahuaman,"Pasco, Peru",90,0,8,[],@KeikoFujimori Un éxito regresa con fuerza la escuela naranja
2481,2021-02-01 00:53:41+00:00,Jamile,"San Juan de Lurigancho, Peru",317,0,2,[],@thecubass @KeikoFujimori Y eres comunicadora jajaj
2482,2021-02-01 00:53:37+00:00,@PartidoChichaMorada,Peru,1118,2,20,[],@KeikoFujimori Eskuela de la Korrupcion
2483,2021-02-01 00:53:32+00:00,🎃 Fashionista1k 🎃 (New York) 🗽,"New York, Estados Unidos",1532,0,3,[],"@KeikoFujimori KEIKO PRESIDENTE, VAMOS CARAJO"
2484,2021-02-01 00:53:30+00:00,el doc,,149,0,0,[],@KeikoFujimori asamblea constituyente elegida en un gobierno autocrático y con acusaciones de fraude.
2485,2021-02-01 00:53:27+00:00,Cesar Galan,"Sechura, Peru",108,0,1,[],@KeikoFujimori No pierda su tiempo señora K K
2486,2021-02-01 00:53:26+00:00,jose almenara,,161,0,1,[],@KeikoFujimori Hehehe ahí estamos todos
2487,2021-02-01 00:53:16+00:00,Beto,,0,0,1,[],"@KeikoFujimori todavis hay, existen"
2488,2021-02-01 00:53:08+00:00,Percy Tagales,,3,0,1,[],@KeikoFujimori https://t.co/4zsVDiEDCG
2489,2021-02-01 00:53:06+00:00,ANDREA CUBAS SIMÓN,,835,0,42,[],@KeikoFujimori A s e s i n a / C o r r u p t a
2490,2021-02-01 00:52:52+00:00,Roy P.S,"Lima, Peru",50,0,1,[],"@KeikoFujimori Ya siéntese, señora. 🐀"
2491,2021-02-01 00:52:47+00:00,🎃 Fashionista1k 🎃 (New York) 🗽,"New York, Estados Unidos",1532,0,6,[],"@KeikoFujimori KEIKO PRESIDENTE, VAMOS CARAJO !"
2492,2021-02-01 00:52:24+00:00,Percy Tagales,,3,0,1,[],@KeikoFujimori https://t.co/ClojP25uiO
2493,2021-02-01 00:50:46+00:00,César 😇,"Lima, Peru",140,0,0,[],@MonicaV89308328 @miguel957 @elhigadodmarita @KeikoFujimori Jaja lasrima tu pensar
2494,2021-02-01 00:50:29+00:00,César 😇,"Lima, Peru",140,0,1,[],"@MonicaV89308328 @miguel957 @elhigadodmarita @KeikoFujimori Un asesino Fujimori,torturador etc"
2495,2021-02-01 00:49:28+00:00,Alberto Ampuero,Peru,94,0,0,[],@marthamoyano Recuerdales que @KeikoFujimori recibia dinero de Montesinos
2496,2021-02-01 00:47:31+00:00,Alberto Condori P,,14,0,0,[],"@WaykaPeru @KeikoFujimori disculpen mi ignorancia, pero donde trabajó?, quien le pago ese sueldo?, una empresa formal o informal?, ay la japonesa,"
2497,2021-02-01 00:42:09+00:00,Jacky,,2,0,0,[],@Genovev61561656 @KeikoFujimori https://t.co/BfszwK4cYr
2498,2021-02-01 00:39:25+00:00,🎧 Guillermo López 🎧,PERU - TRUJILLO,64,0,0,[],@FloroPeruano @KeikoFujimori
2499,2021-02-01 00:36:45+00:00,Josefa Dominga,,1296,1,1,[],"@PowerPollito @KeikoFujimori si lo vi, pensé que era meme...jajajajajja estos fujimocos superan la ficción...!"
2500,2021-02-01 00:35:50+00:00,Nano Cortés-Quiroz,"Lima, Perú",1226,4,4,"['KeiQuino', 'Peru', 'Covid19', 'Elecciones2021', 'SeñoraK', 'FujimoriNuncaMas', 'FujiAprismo', 'Odebrecht']","¡Jajaja! 🤣 ¡Con razón @KeikoFujimori está en caída libre! 😅 Sus súbditos de LA RESISTENCIA están zafaditos, pero nunca creí q lo estuvieran tanto. ¡Este año celebramos el #KeiQuino sí o sí! 😁 #Peru 🇵🇪 #Covid19 #Elecciones2021 #SeñoraK #FujimoriNuncaMas #FujiAprismo #Odebrecht https://t.co/rniaeVNAjV"
2501,2021-02-01 00:33:30+00:00,Daniel Encinas Boyer,,35,0,0,[],@perrocondueno @RoyerAtamirano @willaxtv @KeikoFujimori Fuente?
2502,2021-02-01 00:31:19+00:00,Felipe ,,4248,0,0,[],Alguien tiene una obsesión psicosexual con @KeikoFujimori y yo que pensé que la gente culta es la más culta https://t.co/sRX6DMDyHp
2503,2021-02-01 00:30:44+00:00,Cristo de las loncheras,Morro Solar,360,0,0,[],@CarmenRozas3 @KeikoFujimori Seguro comió bacalao...
2504,2021-02-01 00:28:29+00:00,Marco Antonio,,19,0,0,[],"@Frospigliosi @KeikoFujimori Fernando Miguel Rospigliosi Capurro mejor preocúpate por la corrupta y experta en lavado de activos Keiko Sofía Fujimori Higuchi; tiene la mayor desaprobación que el resto de los candidatos! Dónde fuiste a parar, después de combatir el crimen ahora eres parte."
2505,2021-02-01 00:24:22+00:00,Ramiro Delgado,,10,0,0,[],@Alvaroandresgi2 @KeikoFujimori Somos Perú https://t.co/3oXxS7hLLh
2506,2021-02-01 00:19:23+00:00,Wilder Silva,,2,0,0,[],"@claudio40528769 @KeikoFujimori desde el 90 vienes terruqueando a quienes nos oponemos a la mafia japonesa, pena x ti tragataper, el terruqueo paso de moda, pero tu ahi, ers peruano de ADN o DNI, pq estos japoneses contrataron troles venecos, asi q explica, tu condicion, esos delincuentes no son de ADN PERUANO"
2507,2021-02-01 00:16:56+00:00,Dark-peru,,50,0,8,[],@WaykaPeru Todo gracias a los seguidores extremistas de @KeikoFujimori
2508,2021-02-01 00:16:04+00:00,EDWIN GONZALEZ,Desde PANAMA Centro del mundo ,190,0,0,[],@KeikoFujimori Le deseo lo mejor en este camino para ...un mejor peru
2509,2021-02-01 00:15:52+00:00,Lisuratas,"Lima, Peru",446,0,0,[],@KeikoFujimori https://t.co/dblLYVWXsV
